"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"14.04.2024","87,29","90,80","90,84","86,10","499,71K","-3,49%"
"07.04.2024","90,45","90,36","92,18","88,80","401,22K","-0,79%"
"31.03.2024","91,17","87,07","91,91","86,41","390,78K","4,22%"
"24.03.2024","87,48","85,00","87,52","84,59","18,69K","2,40%"
"17.03.2024","85,43","85,34","87,70","84,58","168,35K","0,11%"
"10.03.2024","85,34","82,00","85,69","81,08","1,73M","3,97%"
"03.03.2024","82,08","83,50","84,08","81,71","1,89M","-1,76%"
"25.02.2024","83,55","81,41","84,34","81,00","786,81K","2,36%"
"18.02.2024","81,62","83,28","83,96","81,43","1,29M","-2,22%"
"11.02.2024","83,47","81,94","83,66","80,72","1,59M","1,56%"
"04.02.2024","82,19","77,90","82,45","76,62","1,64M","6,28%"
"28.01.2024","77,33","84,13","84,80","76,85","1,17M","-7,44%"
"21.01.2024","83,55","78,89","83,81","77,81","1,37M","6,35%"
"14.01.2024","78,56","78,14","79,73","76,50","1,44M","0,34%"
"07.01.2024","78,29","78,70","80,75","75,26","1,84M","-0,60%"
"31.12.2023","78,76","77,39","79,41","74,79","1,35M","2,23%"
"24.12.2023","77,04","79,04","81,72","76,73","341,85K","-2,57%"
"17.12.2023","79,07","76,80","80,60","75,76","1,05M","3,29%"
"10.12.2023","76,55","75,73","77,35","72,29","1,26M","0,94%"
"03.12.2023","75,84","79,50","79,72","73,60","1,65M","-3,85%"
"26.11.2023","78,88","80,40","84,75","78,75","733,42K","-2,11%"
"19.11.2023","80,58","80,30","82,94","78,41","1,08M","-0,04%"
"12.11.2023","80,61","81,43","83,97","76,60","1,57M","-1,01%"
"05.11.2023","81,43","85,55","86,46","79,20","1,62M","-4,08%"
"29.10.2023","84,89","90,07","90,15","84,56","1,09M","-6,18%"
"22.10.2023","90,48","92,11","92,45","86,68","1,19M","-1,82%"
"15.10.2023","92,16","90,98","93,79","88,88","1,47M","1,40%"
"08.10.2023","90,89","86,45","91,00","85,18","1,96M","7,46%"
"01.10.2023","84,58","92,18","93,33","83,44","2,32M","-11,26%"
"24.09.2023","95,31","93,75","97,69","91,80","598,07K","2,19%"
"17.09.2023","93,27","94,28","95,96","92,20","1,63M","-0,70%"
"10.09.2023","93,93","90,83","94,63","90,11","1,57M","3,62%"
"03.09.2023","90,65","88,95","91,15","88,06","1,36M","2,37%"
"27.08.2023","88,55","84,87","88,99","83,80","682,48K","4,82%"
"20.08.2023","84,48","84,80","85,86","81,94","1,42M","-0,38%"
"13.08.2023","84,80","86,53","86,71","83,05","1,50M","-2,32%"
"06.08.2023","86,81","86,23","88,10","83,32","1,68M","0,66%"
"30.07.2023","86,24","84,95","86,65","82,36","1,37M","1,47%"
"23.07.2023","84,99","80,95","85,09","80,42","917,07K","4,84%"
"16.07.2023","81,07","79,34","81,24","78,20","294,35K","1,50%"
"09.07.2023","79,87","78,60","81,75","77,36","1,71M","1,78%"
"02.07.2023","78,47","75,11","78,54","74,56","1,11M","4,77%"
"25.06.2023","74,90","74,50","75,40","71,57","490,35K","1,42%"
"18.06.2023","73,85","76,40","77,24","72,11","1,15M","-3,60%"
"11.06.2023","76,61","74,87","76,74","71,58","1,51M","2,43%"
"04.06.2023","74,79","77,68","78,73","73,58","1,67M","-1,76%"
"28.05.2023","76,13","77,39","77,75","71,39","787,29K","-1,07%"
"21.05.2023","76,95","75,63","78,66","74,55","1,20M","1,81%"
"14.05.2023","75,58","74,15","77,50","73,49","1,23M","1,90%"
"07.05.2023","74,17","75,23","77,60","74,03","1,38M","-1,50%"
"30.04.2023","75,30","80,11","80,24","71,28","1,63M","-5,33%"
"23.04.2023","79,54","81,87","83,06","77,39","697,69K","-2,60%"
"16.04.2023","81,66","86,43","86,52","80,45","1,41M","-4,90%"
"09.04.2023","85,87","84,45","86,90","83,37","853,36K","0,88%"
"02.04.2023","85,12","86,00","86,44","83,50","1,29M","6,55%"
"26.03.2023","79,89","74,62","79,95","74,39","1,68M","6,53%"
"19.03.2023","74,99","73,01","77,44","70,12","1,06M","2,77%"
"12.03.2023","72,97","82,60","83,48","71,40","2,13M","-11,85%"
"05.03.2023","82,78","85,83","86,75","80,73","1,49M","-3,55%"
"26.02.2023","85,83","83,19","86,00","81,73","840,91K","3,21%"
"19.02.2023","83,16","83,15","84,30","80,40","893,44K","0,19%"
"12.02.2023","83,00","86,51","86,95","81,80","1,19M","-3,92%"
"05.02.2023","86,39","79,61","86,90","79,10","1,43M","8,07%"
"29.01.2023","79,94","86,88","87,48","79,62","1,04M","-7,75%"
"22.01.2023","86,66","87,70","89,09","85,41","805,81K","-1,11%"
