"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"14.04.2024","5,2027","5,1149","5,2916","5,1031","","1,66%"
"07.04.2024","5,1175","5,0665","5,1487","4,9970","","1,03%"
"31.03.2024","5,0655","5,0147","5,0921","5,0043","","1,00%"
"24.03.2024","5,0153","5,0023","5,0184","4,9651","","0,31%"
"17.03.2024","4,9997","4,9960","5,0557","4,9504","","0,10%"
"10.03.2024","4,9949","4,9835","5,0022","4,9530","","0,29%"
"03.03.2024","4,9806","4,9545","4,9923","4,9311","","0,53%"
"25.02.2024","4,9541","4,9943","4,9993","4,9281","","-0,82%"
"18.02.2024","4,9951","4,9686","4,9978","4,9186","","0,58%"
"11.02.2024","4,9665","4,9537","4,9894","4,9520","","0,30%"
"04.02.2024","4,9517","4,9663","5,0184","4,9497","","-0,37%"
"28.01.2024","4,9699","4,9175","4,9819","4,9056","","1,08%"
"21.01.2024","4,9168","4,9338","5,0023","4,9018","","-0,29%"
"14.01.2024","4,9310","4,8566","4,9561","4,8427","","1,59%"
"07.01.2024","4,8539","4,8781","4,9098","4,8309","","-0,42%"
"31.12.2023","4,8743","4,8534","4,9407","4,8489","","0,46%"
"24.12.2023","4,8521","4,8513","4,8714","4,8018","","-0,13%"
"17.12.2023","4,8585","4,9414","4,9520","4,8481","","-1,59%"
"10.12.2023","4,9371","4,9268","4,9773","4,8749","","0,11%"
"03.12.2023","4,9317","4,8780","4,9680","4,8780","","1,06%"
"26.11.2023","4,8801","4,9060","4,9459","4,8575","","-0,45%"
"19.11.2023","4,9020","4,9025","4,9205","4,8425","","-0,08%"
"12.11.2023","4,9059","4,9009","4,9427","4,8363","","0,09%"
"05.11.2023","4,9013","4,9031","4,9549","4,8585","","0,00%"
"29.10.2023","4,9012","5,0143","5,0717","4,8753","","-2,27%"
"22.10.2023","5,0152","5,0328","5,0545","4,9306","","-0,32%"
"15.10.2023","5,0312","5,0532","5,0990","5,0093","","-0,96%"
"08.10.2023","5,0801","5,1615","5,1820","5,0280","","-1,27%"
"01.10.2023","5,1457","5,0308","5,2210","5,0308","","2,26%"
"24.09.2023","5,0320","4,9320","5,0800","4,9320","","1,96%"
"17.09.2023","4,9351","4,8685","4,9396","4,8390","","1,41%"
"10.09.2023","4,8663","4,9845","4,9867","4,8584","","-2,44%"
"03.09.2023","4,9882","4,9485","4,9953","4,9069","","0,85%"
"27.08.2023","4,9463","4,8719","4,9613","4,8424","","1,54%"
"20.08.2023","4,8711","4,9684","4,9967","4,8457","","-1,98%"
"13.08.2023","4,9694","4,9126","5,0024","4,9102","","1,32%"
"06.08.2023","4,9048","4,8735","4,9418","4,8400","","0,65%"
"30.07.2023","4,8733","4,7304","4,9224","4,7130","","2,95%"
"23.07.2023","4,7336","4,7797","4,7840","4,6950","","-0,96%"
"16.07.2023","4,7795","4,7896","4,8507","4,7597","","-0,21%"
"09.07.2023","4,7894","4,8696","4,9235","4,7757","","-1,70%"
"02.07.2023","4,8720","4,7885","4,9507","4,7592","","1,80%"
"25.06.2023","4,7860","4,7838","4,8750","4,7505","","-0,01%"
"18.06.2023","4,7864","4,8202","4,8320","4,7507","","-0,70%"
"11.06.2023","4,8199","4,8794","4,9007","4,7949","","-1,21%"
"04.06.2023","4,8791","4,9581","4,9765","4,8524","","-1,57%"
"28.05.2023","4,9571","4,9942","5,1279","4,9453","","-0,74%"
"21.05.2023","4,9939","4,9983","5,0448","4,9349","","-0,08%"
"14.05.2023","4,9981","4,9196","5,0033","4,8847","","1,60%"
"07.05.2023","4,9195","4,9531","5,0374","4,9079","","-0,65%"
"30.04.2023","4,9518","4,9875","5,0535","4,9250","","-0,70%"
"23.04.2023","4,9865","5,0481","5,0863","4,9693","","-1,23%"
"16.04.2023","5,0486","4,9102","5,0895","4,8988","","2,83%"
"09.04.2023","4,9096","5,0559","5,0938","4,8921","","-2,87%"
"02.04.2023","5,0549","5,0637","5,1002","5,0163","","-0,16%"
"26.03.2023","5,0631","5,2466","5,2509","5,0547","","-3,49%"
"19.03.2023","5,2463","5,2756","5,3421","5,2024","","-0,60%"
"12.03.2023","5,2778","5,2171","5,3289","5,2106","","1,17%"
"05.03.2023","5,2166","5,1990","5,2216","5,1003","","0,40%"
"26.02.2023","5,1956","5,2071","5,2519","5,1706","","-0,28%"
"19.02.2023","5,2100","5,1679","5,2144","5,1093","","0,82%"
"12.02.2023","5,1674","5,2156","5,2603","5,1281","","-0,91%"
"05.02.2023","5,2151","5,1525","5,3092","5,1326","","1,22%"
"29.01.2023","5,1522","5,1065","5,1589","4,9401","","0,85%"
"22.01.2023","5,1089","5,2079","5,2208","5,0560","","-1,89%"
"15.01.2023","5,2074","5,0957","5,2562","5,0655","","2,19%"
"08.01.2023","5,0956","5,2259","5,3094","5,0684","","-2,48%"
"01.01.2023","5,2254","5,2865","5,4802","5,2186","","-1,15%"
"25.12.2022","5,2860","5,1669","5,3049","5,1545","","2,34%"
"18.12.2022","5,1652","5,3145","5,3404","5,1160","","-2,80%"
"11.12.2022","5,3140","5,2404","5,3730","5,2309","","1,41%"
"04.12.2022","5,2400","5,2170","5,2916","5,1841","","0,40%"
"27.11.2022","5,2189","5,4080","5,4307","5,1616","","-3,53%"
"20.11.2022","5,4098","5,3832","5,4251","5,2794","","0,50%"
"13.11.2022","5,3827","5,3253","5,5307","5,2589","","1,08%"
"06.11.2022","5,3250","5,0571","5,4155","5,0461","","5,33%"
"30.10.2022","5,0557","5,2962","5,4083","5,0184","","-4,52%"
"23.10.2022","5,2949","5,1649","5,3927","5,1648","","2,60%"
"16.10.2022","5,1605","5,3288","5,3307","5,1404","","-3,09%"
"09.10.2022","5,3252","5,1999","5,3817","5,1625","","2,42%"
"02.10.2022","5,1996","5,4158","5,4158","5,1083","","-3,98%"
"25.09.2022","5,4154","5,2603","5,4300","5,2603","","2,96%"
"18.09.2022","5,2595","5,2544","5,3029","5,1055","","0,12%"
"11.09.2022","5,2531","5,1477","5,3105","5,0766","","2,08%"
"04.09.2022","5,1462","5,1660","5,2539","5,1378","","-0,42%"
"28.08.2022","5,1681","5,0608","5,2577","5,0076","","2,13%"
"21.08.2022","5,0601","5,1706","5,2046","5,0540","","-2,12%"
"14.08.2022","5,1697","5,0721","5,2199","5,0721","","1,90%"
"07.08.2022","5,0735","5,1638","5,1712","5,0342","","-1,76%"
"31.07.2022","5,1646","5,1759","5,3163","5,1269","","-0,17%"
"24.07.2022","5,1734","5,4987","5,5010","5,1448","","-5,88%"
"17.07.2022","5,4968","5,4092","5,5152","5,3517","","1,64%"
"10.07.2022","5,4082","5,2551","5,4906","5,2551","","2,94%"
"03.07.2022","5,2536","5,3307","5,4627","5,2501","","-1,45%"
"26.06.2022","5,3310","5,2423","5,3402","5,1754","","1,70%"
"19.06.2022","5,2417","5,1534","5,2763","5,1167","","1,75%"
"12.06.2022","5,1518","4,9890","5,1561","4,9890","","3,31%"
"05.06.2022","4,9865","4,7765","5,0124","4,7467","","4,46%"
"29.05.2022","4,7734","4,7311","4,8321","4,6904","","0,93%"
"22.05.2022","4,7295","4,8797","4,8797","4,7147","","-3,06%"
"15.05.2022","4,8788","5,0647","5,1045","4,8519","","-3,58%"
"08.05.2022","5,0602","5,0784","5,2102","5,0455","","-0,34%"
"01.05.2022","5,0774","4,9692","5,1150","4,8921","","2,12%"
"24.04.2022","4,9721","4,7974","5,0461","4,7974","","3,72%"
"17.04.2022","4,7937","4,6971","4,8393","4,6080","","2,07%"
"10.04.2022","4,6965","4,7056","4,7417","4,6215","","-0,01%"
"03.04.2022","4,6970","4,6595","4,7950","4,5805","","0,85%"
"27.03.2022","4,6575","4,7526","4,8196","4,6525","","-1,78%"
"20.03.2022","4,7420","5,0245","5,0299","4,7297","","-5,60%"
"13.03.2022","5,0231","5,0591","5,1700","4,9924","","-1,01%"
"06.03.2022","5,0745","5,0785","5,1152","4,9820","","0,25%"
"27.02.2022","5,0620","5,1638","5,2233","5,0188","","-1,94%"
"20.02.2022","5,1623","5,1374","5,1810","4,9939","","0,46%"
"13.02.2022","5,1385","5,2560","5,2670","5,1088","","-2,17%"
"06.02.2022","5,2527","5,3260","5,3283","5,1727","","-1,41%"
"30.01.2022","5,3279","5,3698","5,3981","5,2540","","-0,74%"
"23.01.2022","5,3674","5,4528","5,5251","5,3532","","-1,66%"
"16.01.2022","5,4582","5,5352","5,5832","5,3790","","-1,38%"
"09.01.2022","5,5344","5,6340","5,6930","5,5005","","-1,79%"
"02.01.2022","5,6355","5,5668","5,7255","5,5564","","1,17%"
"26.12.2021","5,5703","5,6701","5,7105","5,5469","","-1,84%"
"19.12.2021","5,6750","5,7141","5,7579","5,6259","","-0,37%"
"12.12.2021","5,6959","5,6105","5,7364","5,6012","","1,48%"
"05.12.2021","5,6127","5,6532","5,7029","5,5175","","-0,72%"
"28.11.2021","5,6532","5,6085","5,6959","5,5770","","0,78%"
"21.11.2021","5,6093","5,6013","5,6636","5,5479","","-0,07%"
"14.11.2021","5,6135","5,4570","5,6151","5,4296","","2,83%"
"07.11.2021","5,4588","5,5667","5,5979","5,3879","","-1,52%"
"31.10.2021","5,5428","5,6221","5,7000","5,5012","","-1,67%"
"24.10.2021","5,6372","5,6533","5,6637","5,5365","","-0,18%"
"17.10.2021","5,6474","5,4576","5,7547","5,4576","","3,41%"
"10.10.2021","5,4611","5,5073","5,5737","5,4337","","-0,86%"
"03.10.2021","5,5082","5,3614","5,5381","5,3614","","2,71%"
"26.09.2021","5,3628","5,3384","5,4767","5,3067","","0,53%"
"19.09.2021","5,3344","5,2851","5,3779","5,2495","","0,87%"
"12.09.2021","5,2883","5,2490","5,3472","5,1980","","0,82%"
"05.09.2021","5,2454","5,1920","5,3347","5,1547","","1,05%"
